Employee_ID,Manager_ID,Department,Job_Title,Performance_Rating,Hire_Date,Onboarding_Date,First_Project_Start_Date,Future Date,Bonus,Training_Program,Mentor_ID,Professional_Development_Hours,Number_Of_Promotions,Highest_Education_Level,Certifications,Annual_Salary_Increase_Percentage,Performance_Bonus_Percentage,Work_Hours_Per_Week,Telecommuting_Days_Per_Week,Overtime_Hours_Per_Week,Number_Of_Team_Building_Activities,Conflict_Resolution_Cases,Customer_Complaints_Handled,Leadership_Qualities_Rating,Technical_Skills_Rating,Communication_Skills_Rating,Problem_Solving_Skills_Rating,Teamwork_Skills_Rating,Initiative_Rating,Adaptability_Rating,Creativity_Rating,Strategic_Thinking_Rating,Employee_Engagement_Score,Innovation_Projects_Involvement,Feedback_From_Colleagues,Feedback_From_Supervisors,Employee_Resignation_Status,Supplier_Contact,Work_Quality_Improvement_Plan,Career_Goals_Set,Career_Goals_Achievement_Status,Hiring_Source,Time_to_Hire,Hiring_Manager_Satisfaction,Recruitment_Cost,Offer_Acceptance_Date,Project_ID,Project_Type,Project_Size,Project_Complexity,Project_Role,Project_Outcome,Peer_Reviews,Customer_Feedback,Innovation_Contributions,Leadership_Potential,Development_Plan_Completion,Internship_Duration,Internship_Completion_Status,Internship_Supervisor_ID,Internship_Project_Assigned,Internship_Evaluation_Score,Internship_Conversion_Status,Internship_Learning_Outcomes,Mentor_Experience_Level,Mentor_Rating,Mentor_Availability_Hours_Per_Week,Mentor_Training_Provided,Internship_Goals_Set,Internship_Goals_Achievement_Status,Employee_Training_Cost,Employee_Award_Recognition,Employee_Health_Insurance_Coverage,Employee_Travel_Allowance,Employee_Stock_Options,Employee_Compensation_Benefits,Employee_Savings_Plans,Employee_Training_Certification_Status,Employee_Training_Evaluation_Score,Employee_Training_Cost_Budget,Employee_Training_Participation_Rate,Employee_Professional_Associations,Employee_Mentorship_Program_Participation,Employee_Volunteer_Activities,Employee_Work_Life_Balance_Rating,Employee_Retirement_Benefits,Employee_Annual_Salary_Adjustment,Employee_Job_Satisfaction_Score,Employee_Leadership_Training,Employee_Team_Leadership_Experience,Employee_Conflict_Resolution_Skills,Employee_Organizational_Culture_Fit,Employee_Innovative_Skills,Employee_Problem_Solving_Capabilities,Employee_Technical_Training_Programs,Employee_Development_Opportunities,Employee_Career_Progression_Plan,Employee_Professional_Growth_Potential,Employee_Performance_Improvement_Plan,Employee_Recognition_Programs_Participation,Employee_Job_Rotation_Experience,Employee_Team_Collaboration_Effectiveness,Employee_Stakeholder_Management_Skills,Employee_Personal_Development_Plans,,,,
2024/Finance/0001,2024/IT/0072,IT,Manager,10,2020-02-27,2020-04-09,2024-08-31,79958,5042,Basic,N/A,38,1,Master,CFA,6,1,35,3,12,9,4,5,14,19,4,10,8,6,7,5,2,74,No,8,7,No,Email,No,Medium-term,Not Started,Referral,27,6,4993,2020-02-27,Project-13,Research,Small,Simple,Analyst,Failed,8,8,Medium,High,Complete,6,Incomplete,N/A,Project B,1,Converted,Learning Outcome B,Mid-Senior,8,5,No,No,In Progress,972,Award,Premium,1524,Stock Options,4977,2957,Certified,97,932,65,Inactive,Active,No,8,Premium,3,4,Leadership Training,9,6,6,10,6,11,12,7,10,11,Yes,9,13,6,Inactive,,8,Medium,"2024/Finance/0001, 2024/Finance/0001, 2024/IT/0002, 2024/HR/0003, 2024/Sales/0004, 2024/HR/0005, 2024/HR/0006, 2024/Marketing/0007, 2024/Marketing/0008, 2024/Marketing/0009, 2024/HR/0010, 2024/Marketing/0011, 2024/Marketing/0012"
2024/Finance/0001,2024/HR/0074,IT,Manager,10,2020-02-27,2020-04-09,2024-08-31,79958,5042,Basic,N/A,38,1,Master,CFA,6,1,35,3,12,9,4,5,14,19,4,10,8,6,7,5,2,74,No,8,7,No,Email,No,Medium-term,Not Started,Referral,27,6,4993,2020-02-27,Project-13,Research,Small,Simple,Analyst,Failed,8,8,Medium,High,Complete,6,Incomplete,N/A,Project B,1,Converted,Learning Outcome B,Mid-Senior,8,5,No,No,In Progress,972,Award,Premium,1524,Stock Options,4977,2957,Certified,97,932,65,Inactive,Active,No,8,Premium,3,4,Leadership Training,9,6,6,10,6,11,12,7,10,11,Yes,9,13,6,Inactive,,8,Medium,"2024/Finance/0001, 2024/IT/0002, 2024/HR/0003, 2024/Sales/0004, 2024/HR/0005, 2024/HR/0006, 2024/Marketing/0007, 2024/Marketing/0008, 2024/Marketing/0009, 2024/HR/0010, 2024/Marketing/0011, 2024/Marketing/0012, 2024/Sales/0013"
2024/IT/0002,2024/Marketing/0032,HR,Consultant,12,2024-07-23,2024-08-14,2024-10-08,80105,5024,Advanced,2024/Finance/0001,54,0,Bachelor,None,7,6,43,4,11,9,4,1,5,5,10,7,7,6,8,5,10,84,Yes,8,8,No,Phone,Yes,Short-term,Achieved,Referral,28,6,5032,2024-07-23,Project-81,Development,Small,Moderate,Developer,In Progress,5,10,Low,High,Partial,6,Completed,2024/Finance/0001,Project B,6,Converted,Learning Outcome B,Mid-Senior,11,3,No,No,Achieved,982,None,Premium,1515,Stock Options,4897,3012,In Progress,73,1000,77,Inactive,Active,No,4,Premium,2,5,Leadership Training,9,5,5,13,12,11,3,8,9,9,No,7,7,10,Active,,,High,
2024/HR/0003,2024/Sales/0004,HR,Analyst,11,2021-07-25,2021-12-21,2022-02-18,80296,5099,None,2024/Finance/0001,57,2,PhD,AWS,3,6,41,1,5,9,3,4,7,4,8,9,8,7,5,6,9,71,No,4,7,Yes,Direct Visit,No,Medium-term,In Progress,Agency,24,4,4841,2021-07-25,Project-3,Research,Medium,Moderate,Developer,Failed,15,2,Medium,Low,Partial,5,Completed,2024/IT/0002,Project A,8,Converted,Learning Outcome C,Mid-Senior,10,3,Yes,Yes,Achieved,977,None,Premium,1534,None,5012,2903,Certified,71,982,63,Active,Inactive,No,14,Basic,5,10,Leadership Training,5,14,9,7,7,11,7,11,12,9,Yes,5,6,,Inactive,,,Low,
2024/Sales/0004,2024/Sales/0111,Sales,Manager,14,2019-05-26,2019-05-26,2019-07-17,80253,4874,Advanced,2024/IT/0002,54,2,PhD,AWS,11,2,43,5,13,5,3,4,6,4,8,9,6,12,6,4,7,84,No,7,6,Yes,Direct Visit,No,Long-term,Not Started,Job Board,29,5,5044,2019-05-26,Project-15,Research,Small,Moderate,Developer,In Progress,7,8,High,High,Partial,4,Completed,2024/HR/0003,Project C,6,Converted,Learning Outcome C,Senior,15,6,Yes,No,Not Started,1032,None,Premium,1471,None,5025,3055,Not Certified,84,994,58,Active,Active,No,5,Premium,6,6,Leadership Training,7,4,6,6,8,14,6,5,7,5,No,11,6,,Active,,,Low,
2024/HR/0005,2024/IT/0136,HR,Analyst,4,2020-11-30,2021-05-06,2021-06-06,80044,4910,Advanced,2024/Sales/0004,49,1,Master,PMP,9,2,38,4,3,1,2,0,6,7,6,6,11,10,6,10,8,67,Yes,5,7,Yes,Email,No,Long-term,Achieved,Referral,29,4,5011,2020-11-30,Project-90,Research,Medium,Simple,Manager,In Progress,2,4,Low,High,Partial,2,Incomplete,2024/Finance/0001,Project C,5,Converted,Learning Outcome B,Senior,9,2,No,Yes,In Progress,1005,None,Premium,1525,Stock Options,5143,3111,Not Certified,88,1003,64,Inactive,Active,No,6,Basic,3,10,None,4,11,9,10,7,4,7,8,6,10,Yes,8,4,,Inactive,,,Low,
2024/HR/0006,2024/Marketing/0011,Marketing,Developer,10,2021-08-01,2021-08-06,2021-10-11,80106,5043,Basic,2024/Sales/0004,46,0,Bachelor,Google Cloud,4,3,40,3,6,0,1,5,14,14,8,8,6,4,5,13,6,77,No,8,6,Yes,Fax,No,Short-term,Not Started,Internal,28,2,5058,2021-08-01,Project-76,Development,Small,Simple,Developer,In Progress,4,4,High,High,Complete,6,Completed,2024/Sales/0004,Project A,13,Not Converted,Learning Outcome C,Junior,2,2,Yes,No,Achieved,1004,None,Premium,1526,Stock Options,4916,3060,Certified,78,952,74,Inactive,Inactive,No,4,Basic,5,1,None,10,10,11,7,8,6,4,6,12,6,Yes,8,9,,Active,,,Low,
2024/Marketing/0007,2024/HR/0050,Marketing,Manager,6,2023-02-04,2023-04-01,2023-05-10,80057,5003,Advanced,2024/IT/0002,54,0,Bachelor,Google Cloud,4,3,35,5,7,4,1,3,9,7,9,8,7,3,11,8,8,82,Yes,5,2,No,Phone,Yes,Medium-term,Not Started,Job Board,24,6,4907,2023-02-04,Project-25,Consulting,Small,Complex,Analyst,In Progress,8,9,Low,Low,Not Started,3,Completed,2024/Finance/0001,Project C,4,Converted,Learning Outcome C,Associate,10,4,Yes,Yes,In Progress,967,Recognition,Standard,1550,None,4942,3024,In Progress,74,953,85,Inactive,Active,Yes,9,Basic,3,8,None,7,10,5,12,6,8,8,8,7,7,No,11,7,,Inactive,,,Low,
2024/Marketing/0008,2024/Finance/0114,HR,Manager,8,2018-11-27,2019-03-18,2019-05-20,80249,5041,Advanced,2024/HR/0006,42,2,Bachelor,PMP,4,4,43,3,5,1,0,3,9,11,11,9,10,13,12,8,10,69,Yes,6,11,No,Phone,Yes,Medium-term,Not Started,Agency,34,3,4983,2018-11-27,Project-60,Research,Large,Simple,Developer,In Progress,9,6,Medium,Medium,Complete,1,Completed,2024/HR/0005,Project B,6,Converted,Learning Outcome B,Associate,13,3,No,Yes,Achieved,948,None,Basic,1478,Stock Options,4952,3006,Not Certified,83,974,86,Active,Active,Yes,6,Basic,6,9,None,4,8,8,5,12,10,4,8,6,5,No,7,9,,Active,,,Low,
2024/Marketing/0009,2024/Sales/0170,Finance,Analyst,13,2021-11-30,2022-01-27,2022-03-08,79610,4985,Basic,2024/IT/0002,55,0,Master,CFA,4,3,37,1,10,1,3,3,10,11,7,11,8,12,9,6,15,83,No,7,4,Yes,Direct Visit,No,Short-term,In Progress,Internal,36,5,5128,2021-11-30,Project-30,Development,Medium,Simple,Developer,Successful,6,7,Medium,Low,Partial,2,Incomplete,2024/Sales/0004,Project C,12,Converted,Learning Outcome B,Senior,7,8,No,Yes,Not Started,956,Award,Premium,1488,Stock Options,4966,2945,Not Certified,73,1022,72,Inactive,Active,No,11,Premium,8,7,Leadership Training,10,4,2,9,6,7,8,10,8,8,Yes,6,4,,Inactive,,,,
